;Total_applicant;Total_applied;biológia;fizika;földrajz;földtudományi;kémia;környezettan;Total_nature_Science_applicant;Total_nature_Science_applied
2009;114064;71259;2371;644;2028;1015;832;1440;8330;3563
2010;119190;69948;2677;908;2167;1058;1088;1803;9701;3833
2011;117180;71253;2981;977;2396;1110;1347;1908;10719;4040
2012;89912;59784;2750;1029;1842;1059;1265;1346;9291;3356
2013;81403;55053;2740;997;1755;735;1200;859;8286;2970
2014;89270;53648;2651;906;1600;643;1037;715;7552;2538
2015;89120;51670;2720;831;1407;506;1078;579;7121;2352
2016;94369;53999;2895;724;1445;550;919;603;7136;2511
2017;93585;55225;2465;561;972;389;757;488;5632;2127
2018;95277;57068;2412;558;842;334;676;428;5250;1975
2019;99996;61041;2257;547;720;292;671;379;4866;1915
2020;79472;49704;1851;461;568;269;515;280;3944;1502
2021;87449;55582;1875;435;584;306;500;215;3915;1476
2022;85606;55105;1515;393;310;329;480;156;3183;1137
